#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
4U042,9200,12103,Altres complements,757.32,,757.32,609.78,609.78
4U043,1510,12103,Altres complements,2708.3,,2708.3,2708.3,2708.3
4U044,1511,12103,Altres complements,5223.26,,5223.26,4165.98,4165.98
4U045,1510,12103,Altres complements,1669.64,,1669.64,1649.77,1649.77
4U045,1610,12103,Altres complements,1878.52,,1878.52,2323.04,2323.04
4U046,1550,12103,Altres complemets,457.94,,457.94,457.94,457.94
4U049,1511,12103,Altres complements,3244.92,,3244.92,2372.01,2372.01
4U049,1550,12103,Altres complements.,,,,231.78,231.78
4U049,9208,12103,Altres complements,56.92,,56.92,,
4U050,1330,12103,Altres complements,6832.0,,6832.0,6815.53,6815.53
4U051,1320,12103,Altres complements,259388.41,,259388.41,220742.79,220742.79
4U052,1620,12103,Altres complements,4753.0,,4753.0,4753.0,4753.0
4U052,9200,12103,Altres complements,17967.88,,17967.88,16684.46,16684.46
4U054,1640,12103,ALTRES COMPLEMENTS,3903.06,,3903.06,3903.08,3903.08
9U003,9125,12103,Altres complements,736.82,,736.82,611.24,611.24
9U058,9125,12103,Altres complemnts,837.06,,837.06,777.27,777.27
9U059,9240,12103,Altres complements.,,171.28,171.28,152.08,152.08
9U060,3370,12103,Altres complements.,,256.92,256.92,280.54,280.54
2U018,9205,1210301,Liquidació vacances personal funcionari,,,,2181.9,2181.9
4U051,1320,1210301,Liquidació vacances personal funcionari,,,,7288.54,7288.54
1U001,9120,1210303,Incapacitat temporal,,,,225.02,225.02
1U008,9121,1210303,Incapacitat temporal,,,,1507.3,1507.3
1U015,4330,1210303,Incapacitat temporal,,,,688.17,688.17
2U017,9204,1210303,Incapacitat temporal,,,,863.28,863.28
2U018,9205,1210303,Incapacitat temporal,,,,7952.21,7952.21
2U019,9250,1210303,Incapacitat temporal,,,,167.58,167.58
2U022,9203,1210303,Incapacitat temporal,,,,22935.59,22935.59
2U024,9320,1210303,Incapacitat temporal,,,,1837.62,1837.62
2U027,9201,1210303,Incapacitat temporal,,,,10136.37,10136.37
2U028,9201,1210303,Incapacitat temporal,,,,5139.51,5139.51
3U033,2310,1210303,Incapacitat temporal,,,,777.6,777.6
3U041,3320,1210303,Incapacitat temporal,,,,623.88,623.88
4U042,9200,1210303,Incapacitat temporal,,,,605.59,605.59
4U044,1511,1210303,Incapacitat temporal,,,,518.06,518.06
4U045,1610,1210303,Incapacitat temporal,,,,137.03,137.03
4U050,1330,1210303,Incapacitat temporal,,,,138.82,138.82
4U051,1320,1210303,Incapacitat temporal,,,,150105.51,150105.51
,,,Personal funcionari,6274649.74,-12422.21,6262227.53,5803305.71,5793482.04
1U005,4321,13000,Retribucions bàsiques,9370.18,,9370.18,9370.18,9370.18
1U005,9202,13000,Retribucions bàsiques,12219.56,,12219.56,21589.08,21589.08
1U006,4321,13000,Retribucions bàsiques,48492.3,,48492.3,23240.61,23240.61
1U008,9121,13000,Retribucions bàsiques,20459.88,,20459.88,20114.74,20114.74
1U009,9121,13000,Retribucions bàsiques,68806.19,,68806.19,63705.01,63705.01
1U014,4330,13000,Retribucions bàsiques,37931.63,,37931.63,42024.04,41555.9
1U015,4330,13000,Retribucions bàsiques,55848.25,,55848.25,50569.44,50569.44
1U016,4310,13000,Retribucions bàsiques,24502.52,,24502.52,22138.86,22138.86
1U055,4320,13000,Retribucions bàsiques,17017.1,,17017.1,15334.23,15334.23
1U062,2410,13000,Retribucions basiques,71201.66,,71201.66,62094.26,62094.26
1U063,2410,13000,Retribucions basiques,32200.92,,32200.92,28340.73,28340.73
1U064,2410,13000,Retribucions basiques,54663.21,,54663.21,48631.02,48584.05
1U065,2410,13000,Retribucions basiques,13974.96,,13974.96,21891.27,21891.27
1U066,9261,13000,Retribucions basiques,166198.87,20000.0,186198.87,175378.69,175378.69
2U004,9204,13000,Retribucions basiques,60354.97,,60354.97,51716.81,51716.81
2U013,9209,13000,Retribucions bàsiques,23827.14,,23827.14,12270.58,12270.58
2U014,4330,13000,Retribucions bàsiques.,,,,,
2U017,9204,13000,Retribucions bàsiques,9535.18,,9535.18,9744.8,9744.8
2U018,9205,13000,Retribucions bàsiques,175001.7,163.87,175165.57,167406.14,167406.14
2U019,9250,13000,Retribucions bàsiques,128256.77,,128256.77,116764.51,116764.51
2U021,9207,13000,Retribucions bàsiques,45623.6,,45623.6,34497.22,34497.22
2U022,9203,13000,Retribucions bàsiques,73792.3,,73792.3,73710.27,73710.27
2U023,9203,13000,Retribucions bàsiques,29443.28,,29443.28,18737.64,18737.64
2U024,9320,13000,Retribucions bàsiques.,,,,29643.91,29643.91
2U025,9320,13000,Retribucions bàsiques,50988.88,,50988.88,50988.88,50988.88
2U026,9320,13000,Retribucions bàsiques,14187.58,,14187.58,14028.8,14028.8
2U027,9201,13000,Retribucions bàsiques,20162.24,,20162.24,20884.75,20884.75
2U028,9201,13000,Retribucions bàsiques,30802.1,,30802.1,30748.77,30748.77
2U029,9310,13000,Retribucions bàsiques,8671.54,,8671.54,8671.54,8671.54
2U030,9310,13000,Retribucions bàsiques,40135.9,,40135.9,40135.9,40135.9
2U056,9207,13000,Retribucions bàsiques,28476.0,,28476.0,27999.05,27999.05
2U067,9320,13000,Retribucions bàsiques,21553.88,,21553.88,,
3U031,9206,13000,Retribucions bàsiques,81170.52,,81170.52,79738.82,79738.82
3U032,2310,13000,Retribucions bàsiques,27813.78,,27813.78,78629.76,78059.05
3U032,2330,13000,Retribucions bàsiques.,,,,7301.51,7301.51
3U033,2310,13000,Retribucions bàsiques,366668.39,-9298.08,357370.31,278617.03,278617.03
3U033,2321,13000,Retribucions bàsiques.,,,,8210.9,8210.9
3U033,2330,13000,Retribucions bàsiques,105992.05,,105992.05,89898.62,89898.62
3U035,3130,13000,Retribucions bàsiques,92102.3,,92102.3,90150.96,90150.96
3U036,3200,13000,Retribucions bàsiques,181476.41,,181476.41,177257.91,177257.91
3U036,3230,13000,Retribucions bàsiques,73782.96,,73782.96,67406.86,67406.86
3U037,3210,13000,Retribucions basiques,225442.68,,225442.68,206581.1,206555.6
3U038,3221,13000,Retribucions bàsiques,258499.14,,258499.14,263095.55,263095.55
3U039,3222,13000,Retribucions bàsiques,329333.52,,329333.52,324881.99,324881.99
3U040,3410,13000,Retribucions bàsiques,42201.66,,42201.66,39996.45,39996.45
3U040,3420,13000,Retribucions bàsiques,31303.86,,31303.86,32200.14,32200.14
